part_id,part_name,content_code,can_be_sold
4,РЭПВ-3221-18.12,,t
5,РЭПВ-3221-18.24,,t
6,РЭПВ-3221-18.220,,t
7,РЭПВ-3231-18.12,,t
8,РЭПВ-3231-18.24,,t
9,РЭПВ-3231-18.220,,t
10,РЭПВ-3241-18.12,,t
11,РЭПВ-3241-18.24,,t
12,РЭПВ-3241-18.220,,t
16,РЭПВ-5222-18.12,,t
17,РЭПВ-5222-18.24,,t
18,РЭПВ-5222-18.220,,t
19,РЭПВ-5232-18.12,,t
20,РЭПВ-5232-18.24,,t
21,РЭПВ-5232-18.220,,t
22,РЭПВ-5242-18.12,,t
23,РЭПВ-5242-18.24,,t
24,РЭПВ-5242-18.220,,t
3,РЭПВ-3211-18.220,110023004,t
13,РЭПВ-5212-18.12,100001133,t
14,РЭПВ-5212-18.24,100000217,t
15,РЭПВ-5212-18.220,110023013,t
1,РЭПВ-3211-18.12,100001320,t
2,РЭПВ-3211-18.24,110023023,t
31,РЭПВ-3211,,f
32,РЭПВ-3221,,f
33,РЭПВ-3231,,f
34,РЭПВ-3241,,f
35,РЭПВ-5212,,f
36,РЭПВ-5222,,f
37,РЭПВ-5232,,f
38,РЭПВ-5242,,f
30,КС-28-220AC,110026069,t
29,КС-28-24DC,110026033,t
28,КС-28-12DC,110026034,t
27,КС-18-220AC,110026080,t
25,КС-18-12DC,110026032,t
26,КС-18-24DC,110026031,t
