part_id,part_name
1,РЭПВ-3211-18.12
2,РЭПВ-3211-18.24
3,РЭПВ-3211-18.220
4,РЭПВ-3221-18.12
5,РЭПВ-3221-18.24
6,РЭПВ-3221-18.220
7,РЭПВ-3231-18.12
8,РЭПВ-3231-18.24
9,РЭПВ-3231-18.220
10,РЭПВ-3241-18.12
11,РЭПВ-3241-18.24
12,РЭПВ-3241-18.220
13,РЭПВ-5212-18.12
14,РЭПВ-5212-18.24
15,РЭПВ-5212-18.220
16,РЭПВ-5222-18.12
17,РЭПВ-5222-18.24
18,РЭПВ-5222-18.220
19,РЭПВ-5232-18.12
20,РЭПВ-5232-18.24
21,РЭПВ-5232-18.220
22,РЭПВ-5242-18.12
23,РЭПВ-5242-18.24
24,РЭПВ-5242-18.220
25,КС-18-12DC
26,КС-18-24DC
27,КС-18-220AC
28,КС-28-12DC
29,КС-28-24DC
30,КС-28-220AC
31,РЭПВ-3211
32,РЭПВ-3221
33,РЭПВ-3231
34,РЭПВ-3241
35,РЭПВ-5212
36,РЭПВ-5222
37,РЭПВ-5232
38,РЭПВ-5242
